Track,Race,Box,DogName,Trainer,Grade,Distance,RaceDate,Form,WinRate,PlaceRate,Odds,BestTime,Margin,Sectional1,Sectional2,Sectional3,RaceComment,Starts,Wins,Seconds,Thirds,CareerPrizeMoney,CareerBest,RaceClass,TrackCondition,Weather,Interference,TrainerWinRate,TrainerState,TrainerCity,Owner,Sire,Dam,Age,Sex,Color,Weight,LastStartDate,LastStartTrack,LastStartResult,LastStartMargin,LastStartComment,SplitAvg,SpeedIndex,ConsistencyIndex,TrackDistanceWins,TrackDistancePlaces,TrackStarts,TrackWins,DistanceStarts,DistanceWins,DistancePlaces,BoxHistory,BoxWins,BoxPlaces,EarlySpeed,ClosingSpeed,Score,Comments,Notes,SourcePDF
CAPA,14,1,Fragile Frankie,Mark Saal,MAIDEN,457,07 Oct 25,24,0%,33.3%,,,Mdn,,,,,3,0,1,2,"1,055",,MAIDEN,3,,,14%-46%,,,Mark Saal,AUSSIE INFRARED,BABS KRAMER,1,d,,0.0,,,,2,,,,,,,,,,,,,,,,,,,,QLAKG0710form (1).pdf
CAPA,14,2,Surrealist,Tom Tzouvelis,MAIDEN,457,07 Oct 25,2524,0%,33.3%,,,Mdn,,,,,6,0,2,4,"1,975",,MAIDEN,5,,,,,,,,,1,d,,0.0,,,,2,,,,,,,,,,,,,,,,,,,,QLAKG0710form (1).pdf
CAPA,14,3,Tilly Dreamer,David Sloan,MAIDEN,457,07 Oct 25,32454,0%,36.4%,,,Mdn,,,,,11,0,4,7,"2,880",,MAIDEN,8,,,,,,,,,1,b,,0.0,,,,7,,,,,,,,,,,,,,,,,,,,QLAKG0710form (1).pdf
CAPA,14,4,Hara's Ebony,Bradley Woods,MAIDEN,457,07 Oct 25,76346,0%,29.5%,,,Mdn,,,,,44,0,13,31,"9,390",,MAIDEN,22,,,,,,,,,3,b,,0.0,,,,3,,,,,,,,,,,,,,,,,,,,QLAKG0710form (1).pdf
CAPA,14,5,Canya Dynamite,Gerard Agius,MAIDEN,457,07 Oct 25,421,20.0%,40.0%,,,7,,,,,5,1,1,3,"5,020",,MAIDEN,4,,,,,,,,,1,d,,0.0,,,,7,,,,,,,,,,,,,,,,,,,,QLAKG0710form (1).pdf
CAPA,14,6,Rio Ragnar,Craig Schmidt,MAIDEN,457,07 Oct 25,34523,0%,40.0%,,,Mdn,,,,,10,0,4,6,"2,630",,MAIDEN,7,,,,,,,,,2,d,,0.0,,,,7,,,,,,,,,,,,,,,,,,,,QLAKG0710form (1).pdf
CAPA,14,7,Hara's Loki,Jemma Daley,MAIDEN,457,07 Oct 25,53,0%,33.3%,,,Mdn,,,,,3,0,1,2,460,,MAIDEN,3,,,,,,,,,1,d,,0.0,,,,7,,,,,,,,,,,,,,,,,,,,QLAKG0710form (1).pdf
CAPA,14,8,Flaming Inferno,Craig Schmidt,MAIDEN,457,07 Oct 25,42721,7.1%,35.7%,,,7,,,,,14,1,4,9,"5,770",,MAIDEN,10,,,,,,,,,2,b,,0.0,,,,7,,,,,,,,,,,,,,,,,,,,QLAKG0710form (1).pdf
CAPA,14,9,Maggie's Song,Robert Davey,MAIDEN,457,07 Oct 25,64425,0%,25.0%,,,Mdn,,,,,8,0,2,6,"1,400",,MAIDEN,7,,,,,,,,,2,b,,0.0,,,,7,,,,,,,,,,,,,,,,,,,,QLAKG0710form (1).pdf
CAPA,14,10,Maywyns Quetzal,Robert Essex,MAIDEN,457,07 Oct 25,655,0%,0.0%,,,Mdn,,,,,3,0,0,3,0,,MAIDEN,4,,,,,,,,,2,d,,0.0,,,,7,,,,,,,,,,,,,,,,,,,,QLAKG0710form (1).pdf
